"root","k","band","br","F","st","lat","E","D","P"
"hemo","血","piv","2","7","6","4","0.667","6","-1.68"
"intendant","管","pejvo","1","7","14","9","0.643","14","-0.872"
"inhib","抑","piv","2","7","7","5","0.714","7","-1.594"
"spontane","自发","pejvo","1","7","11","8","0.727","11","-1.198"
"rudr","舵","pejvo","1","7","11","4","0.364","11","-1.089"
"au^tonom","自治","pejvo","1","7","14","7","0.5","14","-0.829"
"sapr","腐","piv","2","7","14","4","0.286","14","-0.765"
"gril","蟋","pejvo","1","7","17","4","0.235","17","-0.45"
"opi","鸦片","pejvo","1","7","13","3","0.231","13","-0.849"
"sput","吐","pejvo","1","7","6","4","0.667","6","-1.68"
"hemoragi","出血","pejvo","1","7","11","8","0.727","11","-1.198"
"harmonik","琴","pejvo","1","7","12","8","0.667","12","-1.08"
"vaskul","脉","piv","2","7","9","6","0.667","9","-1.38"
"ulcer","疮","pejvo","1","7","9","5","0.556","9","-1.346"
"strab","斜","pejvo","1","7","11","5","0.455","11","-1.116"
"solstic","至","pejvo","1","7","6","7","1.167","6","-1.83"
"helic","螺","pejvo","1","7","17","5","0.294","17","-0.468"
"bilard","台球","pejvo","1","7","16","6","0.375","16","-0.592"
"profan","俗","pejvo","1","7","9","6","0.667","9","-1.38"
"empiri","验","pejvo","1","7","10","6","0.6","10","-1.259"
"simetri","称","pejvo","1","7","10","7","0.7","10","-1.289"
"lipid","脂","piv","2","7","10","5","0.5","10","-1.229"
"acet","醋","pejvo","1","7","15","4","0.267","15","-0.66"
"incendi","焚","pejvo","1","7","12","7","0.583","12","-1.054"
"diafan","透","pejvo","1","7","10","6","0.6","10","-1.259"
"lob","叶","pejvo","1","7","5","3","0.6","5","-1.759"
"skerm","击剑","pejvo","1","7","14","5","0.357","14","-0.787"
"prefekt","督","pejvo","1","7","13","7","0.538","13","-0.941"
"fad","淡","pejvo","1","7","11","3","0.273","11","-1.061"
"legitim","正","pejvo","1","7","5","7","1.4","5","-1.999"
"administraci","管","pejvo","1","7","14","12","0.857","14","-0.937"
"narkot","麻","pejvo","1","7","11","6","0.545","11","-1.143"
"embusk","伏","pejvo","1","7","6","6","1","6","-1.779"
"pneu^mon","肺","pejvo","1","7","8","7","0.875","8","-1.542"
"inkandesk","白热","pejvo","1","7","15","9","0.6","15","-0.759"
"tan","制革","pejvo","1","7","17","3","0.176","17","-0.432"
"medal","牌","pejvo","1","7","12","5","0.417","12","-1.005"
"mjel","髓","pejvo","1","7","21","4","0.19","21","-0.036"
"haladz","臭","pejvo","1","6","10","6","0.6","10","-1.126"
"trivial","卑","pejvo","1","6","8","7","0.875","8","-1.408"
"pistol","枪","pejvo","1","6","8","6","0.75","8","-1.371"
"his","升","pejvo","1","6","4","3","0.75","4","-1.771"
"transvers","横","pejvo","1","6","15","9","0.6","15","-0.626"
"mosk","香","pejvo","1","6","9","4","0.444","9","-1.179"
"krisp","皱","pejvo","1","6","10","5","0.5","10","-1.096"
"arbitraci","裁","pejvo","1","6","12","9","0.75","12","-0.971"
"diskont","减","pejvo","1","6","11","7","0.636","11","-1.037"
"raket","火箭","pejvo","1","6","19","5","0.263","19","-0.125"
"monak","僧","pejvo","1","6","14","5","0.357","14","-0.653"
"partikl","粒","pejvo","1","6","11","7","0.636","11","-1.037"
"vektor","矢量","pejvo","1","6","17","6","0.353","17","-0.352"
"mud","蜕","piv","2","6","13","3","0.231","13","-0.715"
"permeabl","穿","pejvo","1","6","9","8","0.889","9","-1.313"
"proto","原","pejvo","1","6","10","5","0.5","10","-1.096"
"impertinent","放肆","pejvo","1","6","21","11","0.524","21","-0.003"
"fok","海豹","pejvo","1","6","20","3","0.15","20","0.009"
"krit","临界","pejvo","1","6","18","4","0.222","18","-0.213"
"genr","属","pejvo","1","6","12","4","0.333","12","-0.846"
"bir","测","pejvo","1","6","9","3","0.333","9","-1.146"
"delikt","违","pejvo","1","6","7","6","0.857","7","-1.503"
"prunus","李","pejvo","1","6","7","6","0.857","7","-1.503"
"lirik","抒","pejvo","1","6","7","5","0.714","7","-1.46"
"difrakt","衍射","pejvo","1","6","19","7","0.368","19","-0.156"
"alveol","槽","pejvo","1","6","15","6","0.4","15","-0.566"
"hibrid","杂","pejvo","1","6","6","6","1","6","-1.646"
"verticil","轮","piv","2","6","8","8","1","8","-1.446"
"fars","剧","pejvo","1","6","10","4","0.4","10","-1.066"
"karaktr","字","pejvo","1","6","6","7","1.167","6","-1.696"
"niel","乌银","pejvo","1","6","15","4","0.267","15","-0.526"
"vulv","外阴","pejvo","1","6","11","4","0.364","11","-0.955"
"torped","鱼雷","pejvo","1","6","21","6","0.286","21","0.068"
"militar","军","pejvo","1","6","6","7","1.167","6","-1.696"
"sifilis","梅毒","pejvo","1","6","20","7","0.35","20","-0.051"
"permut","换","pejvo","1","6","10","6","0.6","10","-1.126"
"desinfekt","消毒","pejvo","1","6","19","9","0.474","19","-0.188"
"kongru","合","pejvo","1","6","6","6","1","6","-1.646"
"noc^","刻","pejvo","1","6","8","3","0.375","8","-1.258"
"globin","珠蛋白","piv","2","6","26","6","0.231","26","0.585"
"obligaci","务","pejvo","1","6","5","8","1.6","5","-1.926"
"kanajl","恶棍","pejvo","1","6","22","6","0.273","22","0.172"
"eksces","滥","pejvo","1","6","13","6","0.462","13","-0.785"
"trau^mat","创","pejvo","1","6","6","7","1.167","6","-1.696"
"kosmopolit","泛","pejvo","1","6","7","10","1.429","7","-1.675"
"retin","网膜","pejvo","1","6","20","5","0.25","20","-0.021"
"fagopir","麦","pejvo","1","6","7","7","1","7","-1.546"
"s^elk","背带","pejvo","1","6","18","4","0.222","18","-0.213"
"s^akt","竖井","pejvo","1","6","13","4","0.308","13","-0.738"
"hidrau^lik","液压","pejvo","1","6","17","9","0.529","17","-0.405"
"perkut","撞","pejvo","1","6","15","6","0.4","15","-0.566"
"kegl","柱","pejvo","1","6","9","4","0.444","9","-1.179"
"dizel","柴油","pejvo","1","6","18","5","0.278","18","-0.229"
"martir","殉","pejvo","1","6","10","6","0.6","10","-1.126"
"paroh^","堂区","pejvo","1","6","15","5","0.333","15","-0.546"
"duel","决斗","pejvo","1","6","10","4","0.4","10","-1.066"
"grenad","手雷","pejvo","1","6","17","6","0.353","17","-0.352"
"tromb","龙卷","pejvo","1","6","13","5","0.385","13","-0.761"
"muf","套","pejvo","1","6","10","3","0.3","10","-1.036"
"s^alm","管","pejvo","1","6","14","4","0.286","14","-0.632"
"fraj","鱼卵","pejvo","1","6","15","4","0.267","15","-0.526"
"kapsik","辣","pejvo","1","6","14","6","0.429","14","-0.675"
"koktel","鸡尾酒","pejvo","1","6","24","6","0.25","24","0.379"
"latent","潜","pejvo","1","6","15","6","0.4","15","-0.566"
"pudor","羞","pejvo","1","6","10","5","0.5","10","-1.096"
"relajs","转","pejvo","1","6","8","6","0.75","8","-1.371"
"trot","小跑","pejvo","1","6","15","4","0.267","15","-0.526"
"obtur","堵","pejvo","1","6","11","5","0.455","11","-0.982"
"brec^","裂","pejvo","1","6","12","4","0.333","12","-0.846"
"cidoni","木瓜","pejvo","1","6","9","6","0.667","9","-1.246"
"baron","爵","pejvo","1","6","17","5","0.294","17","-0.334"
"s^os","芽","pejvo","1","6","7","3","0.429","7","-1.375"
"glos","注","pejvo","1","6","8","4","0.5","8","-1.296"
"meh^an","机","pejvo","1","6","6","5","0.833","6","-1.596"
"ful","缩","pejvo","1","6","14","3","0.214","14","-0.61"
"rif","礁","pejvo","1","6","17","3","0.176","17","-0.299"
"mistik","玄","pejvo","1","6","5","6","1.2","5","-1.806"
"eluvi","淋","piv","2","6","11","5","0.455","11","-0.982"
"bitum","沥青","pejvo","1","6","15","5","0.333","15","-0.546"
"piramid","锥","pejvo","1","6","13","7","0.538","13","-0.807"
"linear","线","pejvo","1","6","8","6","0.75","8","-1.371"
"naved","梭","pejvo","1","6","11","5","0.455","11","-0.982"
"ponard","匕","pejvo","1","6","2","6","3","2","-2.646"
"kariofil","丁香","pejvo","1","6","11","8","0.727","11","-1.064"
"simptom","症","pejvo","1","6","10","7","0.7","10","-1.156"
"improviz","即兴","pejvo","1","6","13","8","0.615","13","-0.83"
"cito","胞","piv","2","6","9","4","0.444","9","-1.179"
"instituci","构","pejvo","1","6","8","9","1.125","8","-1.483"
"reu^mat","风湿","pejvo","1","6","16","6","0.375","16","-0.458"
"proklam","宣","pejvo","1","6","9","7","0.778","9","-1.279"
"detonaci","轰","pejvo","1","6","8","8","1","8","-1.446"
"apelaci","上诉","pejvo","1","6","10","7","0.7","10","-1.156"
"frivol","轻浮","pejvo","1","6","19","6","0.316","19","-0.141"
"skist","片岩","pejvo","1","6","12","5","0.417","12","-0.871"
"miniatur","缩","pejvo","1","6","14","8","0.571","14","-0.717"
"ovari","卵巢","pejvo","1","6","18","5","0.278","18","-0.229"
"endemi","地方","pejvo","1","6","10","6","0.6","10","-1.126"
"kvalifik","称","pejvo","1","6","10","8","0.8","10","-1.186"
"klab","棍","pejvo","1","6","12","4","0.333","12","-0.846"
"prud","假正","pejvo","1","6","16","4","0.25","16","-0.421"
"dok","船渠","pejvo","1","6","22","3","0.136","22","0.213"
"luminesk","荧","pejvo","1","6","10","8","0.8","10","-1.186"
"blink","闪","piv","2","6","5","5","1","5","-1.746"
"testik","丸","pejvo","1","6","3","6","2","3","-2.246"
"seism","震","piv","2","6","15","5","0.333","15","-0.546"
"hekto","百","pejvo","1","6","6","5","0.833","6","-1.596"
"rak","架","pejvo","1","6","9","3","0.333","9","-1.146"
"aviz","告","pejvo","1","6","7","4","0.571","7","-1.417"
"indikator","指","pejvo","1","6","9","9","1","9","-1.346"
"fabl","寓","pejvo","1","6","12","4","0.333","12","-0.846"
"kalibr","径","pejvo","1","6","8","6","0.75","8","-1.371"
"drast","猛","pejvo","1","6","11","5","0.455","11","-0.982"
"lament","哀","pejvo","1","6","9","6","0.667","9","-1.246"
"ventol","风","pejvo","1","6","4","6","1.5","4","-1.996"
"rabi","狂","pejvo","1","6","7","4","0.571","7","-1.417"
"herez","异端","pejvo","1","6","20","5","0.25","20","-0.021"
"marn","泥灰","pejvo","1","6","14","4","0.286","14","-0.632"
"proviant","粮","pejvo","1","6","13","8","0.615","13","-0.83"
"dig","拦","pejvo","1","6","8","3","0.375","8","-1.258"
"macer","浸","pejvo","1","6","10","5","0.5","10","-1.096"
"koagul","凝","pejvo","1","6","16","6","0.375","16","-0.458"
"refleks","反射","pejvo","1","6","14","7","0.5","14","-0.696"
"fold","槽","pejvo","1","6","15","4","0.267","15","-0.526"
"fram","框","pejvo","1","6","10","4","0.4","10","-1.066"
"stuf","煮","pejvo","1","6","12","4","0.333","12","-0.846"
"frau^d","诈","pejvo","1","6","7","5","0.714","7","-1.46"
"trip","肚","pejvo","1","6","7","4","0.571","7","-1.417"
"sekt","派","pejvo","1","6","9","4","0.444","9","-1.179"
"gros^","分","pejvo","1","6","4","4","1","4","-1.846"
"skler","硬","pejvo","1","6","12","5","0.417","12","-0.871"
"trog","槽","pejvo","1","6","15","4","0.267","15","-0.526"
"spark","火花","pejvo","1","6","11","5","0.455","11","-0.982"
"kompas","罗盘","pejvo","1","6","19","6","0.316","19","-0.141"
"pram","渡","pejvo","1","6","12","4","0.333","12","-0.846"
"hipokrit","伪善","pejvo","1","6","18","8","0.444","18","-0.279"
"emancip","放","pejvo","1","6","8","7","0.875","8","-1.408"
"hidrarg","汞","pejvo","1","6","7","7","1","7","-1.546"
"trib","族","pejvo","1","6","11","4","0.364","11","-0.955"
"diabet","糖尿","pejvo","1","6","23","6","0.261","23","0.276"
"analog","似","pejvo","1","6","6","6","1","6","-1.646"
"kancelari","办公","pejvo","1","6","8","9","1.125","8","-1.483"
"krep","皱绸","pejvo","1","6","21","4","0.19","21","0.097"
"stomat","口","piv","2","6","3","6","2","3","-2.246"
"anus","肛","pejvo","1","6","7","4","0.571","7","-1.417"
"kambi","汇","pejvo","1","6","5","5","1","5","-1.746"
"enantio","映","piv","2","6","9","7","0.778","9","-1.279"
"ermit","隐","pejvo","1","6","11","5","0.455","11","-0.982"
"instrukci","训","pejvo","1","6","5","9","1.8","5","-1.986"
"murd","杀","pejvo","1","6","6","4","0.667","6","-1.546"
"orbit","轨","pejvo","1","6","6","5","0.833","6","-1.596"
"sod","碱","pejvo","1","6","14","3","0.214","14","-0.61"
"prognoz","预测","pejvo","1","6","19","7","0.368","19","-0.156"
"diskret","谨","pejvo","1","6","13","7","0.538","13","-0.807"
"trake","气管","pejvo","1","6","18","5","0.278","18","-0.229"
"vagin","阴道","pejvo","1","6","18","5","0.278","18","-0.229"
"orden","修会","pejvo","1","6","15","5","0.333","15","-0.546"
"plastid","质体","piv","2","6","15","7","0.467","15","-0.586"
"ovol","卵","pejvo","1","6","7","4","0.571","7","-1.417"
"miko","菌","piv","2","6","11","4","0.364","11","-0.955"
"ksil","木","pejvo","1","6","4","4","1","4","-1.846"
"privilegi","特权","pejvo","1","6","16","9","0.562","16","-0.515"
"bed","圃","pejvo","1","6","10","3","0.3","10","-1.036"
"later","边","pejvo","1","6","5","5","1","5","-1.746"
"dielektrik","介电","pejvo","1","6","9","10","1.111","9","-1.379"
"pest","疫","pejvo","1","6","9","4","0.444","9","-1.179"
"turbul","乱","pejvo","1","6","7","6","0.857","7","-1.503"
"fisk","国库","pejvo","1","6","15","4","0.267","15","-0.526"
"tar","皮重","pejvo","1","6","14","3","0.214","14","-0.61"
"decimal","十","pejvo","1","6","2","7","3.5","2","-2.796"
"sekreci","泌","pejvo","1","6","8","7","0.875","8","-1.408"
"spad","剑","pejvo","1","6","9","4","0.444","9","-1.179"
"graten","烤","pejvo","1","6","10","6","0.6","10","-1.126"
"s^ot","射","pejvo","1","6","10","3","0.3","10","-1.036"
"tartr","酒石","pejvo","1","6","15","5","0.333","15","-0.546"
"indig^en","土著","pejvo","1","6","14","7","0.5","14","-0.696"
"perkol","浸","pejvo","1","6","10","6","0.6","10","-1.126"
"noc","害","pejvo","1","6","10","3","0.3","10","-1.036"
"algebr","代数","pejvo","1","6","18","6","0.333","18","-0.246"
"arkeo","古","pejvo","1","6","5","5","1","5","-1.746"
"rin","鼻","pejvo","1","6","14","3","0.214","14","-0.61"
"difuz","散","pejvo","1","6","12","5","0.417","12","-0.871"
"skab","疮疤","piv","2","6","18","4","0.222","18","-0.213"
"poez","诗","piv","2","6","8","4","0.5","8","-1.296"
"psalm","咏","pejvo","1","6","8","5","0.625","8","-1.333"
"hast","匆","pejvo","1","6","5","4","0.8","5","-1.686"
"vand","隔","pejvo","1","6","12","4","0.333","12","-0.846"
"rap","萝卜","pejvo","1","6","13","3","0.231","13","-0.715"
"sugesti","暗示","pejvo","1","6","18","7","0.389","18","-0.263"
"fluoresk","荧光","pejvo","1","6","16","8","0.5","16","-0.496"
"barbar","蛮","pejvo","1","6","12","6","0.5","12","-0.896"
"dual","双","pejvo","1","6","4","4","1","4","-1.846"
"koncesi","特许","pejvo","1","6","16","7","0.438","16","-0.477"
"kript","墓窖","pejvo","1","6","25","5","0.2","25","0.494"
"suflor","提","pejvo","1","6","12","6","0.5","12","-0.896"
"kulot","短裤","pejvo","1","6","24","5","0.208","24","0.392"
"mili","粟","pejvo","1","6","12","4","0.333","12","-0.846"
"stagn","滞","pejvo","1","6","12","5","0.417","12","-0.871"
"amortiz","偿","pejvo","1","6","11","7","0.636","11","-1.037"
"atenu","衰","pejvo","1","6","10","5","0.5","10","-1.096"
"absorb","吸","pejvo","1","6","6","6","1","6","-1.646"
"pirat","海盗","pejvo","1","6","21","5","0.238","21","0.083"
"procez","程","pejvo","1","6","12","6","0.5","12","-0.896"
"sifon","虹吸","pejvo","1","6","15","5","0.333","15","-0.546"
"eman","散","pejvo","1","6","12","4","0.333","12","-0.846"
"hamstr","仓鼠","pejvo","1","5","17","6","0.353","17","-0.198"
"konservativ","存","pejvo","1","5","6","11","1.833","6","-1.742"
"glace","泽","pejvo","1","5","8","5","0.625","8","-1.179"
"gau^g^","测","pejvo","1","5","9","4","0.444","9","-1.025"
"emerg^","出","pejvo","1","5","5","5","1","5","-1.592"
"eksponent","指数","pejvo","1","5","22","9","0.409","22","0.286"
"komiz","员","pejvo","1","5","7","5","0.714","7","-1.306"
"akcesor","副","pejvo","1","5","11","7","0.636","11","-0.883"
"inic","授","pejvo","1","5","11","4","0.364","11","-0.801"
"bastard","庶","pejvo","1","5","11","7","0.636","11","-0.883"
"karen","龙骨","pejvo","1","5","15","5","0.333","15","-0.392"
"nekr","死","pejvo","1","5","6","4","0.667","6","-1.392"
"koloid","胶","pejvo","1","5","10","6","0.6","10","-0.972"
"kvocient","商","pejvo","1","5","11","8","0.727","11","-0.91"
"nomad","牧","pejvo","1","5","8","5","0.625","8","-1.179"
"dermat","皮","pejvo","1","5","5","6","1.2","5","-1.652"
"kanonik","会士","pejvo","1","5","9","7","0.778","9","-1.125"
"bu","浮","pejvo","1","5","10","2","0.2","10","-0.852"
"s^aft","轴","pejvo","1","5","9","4","0.444","9","-1.025"
"umbilik","脐","pejvo","1","5","10","7","0.7","10","-1.002"
"eu^","良","piv","2","5","7","2","0.286","7","-1.178"
"morus","桑","pejvo","1","5","10","5","0.5","10","-0.942"
"sturm","突","pejvo","1","5","9","5","0.556","9","-1.059"
"marc^and","讲价","pejvo","1","5","12","7","0.583","12","-0.767"
"tatu","纹","pejvo","1","5","7","4","0.571","7","-1.263"
"termi","温","pejvo","1","5","12","5","0.417","12","-0.717"
"fondus","基金","pejvo","1","5","19","6","0.316","19","0.013"
"predikat","谓","pejvo","1","5","11","8","0.727","11","-0.91"
"alun","矾","pejvo","1","5","8","4","0.5","8","-1.142"
"krat","治","pejvo","1","5","8","4","0.5","8","-1.142"
"sukur","急救","piv","2","5","20","5","0.25","20","0.133"
"efemer","短","pejvo","1","5","12","6","0.5","12","-0.742"
"veld","焊","pejvo","1","5","11","4","0.364","11","-0.801"
"rig","索","pejvo","1","5","10","3","0.3","10","-0.882"
"bobel","泡","pejvo","1","5","8","5","0.625","8","-1.179"
"stres","压力","piv","2","5","8","5","0.625","8","-1.179"
"folklor","民俗","pejvo","1","5","14","7","0.5","14","-0.542"
"translaci","移","pejvo","1","5","11","9","0.818","11","-0.937"
"duk","公爵","pejvo","1","5","21","3","0.143","21","0.265"
"zodiak","黄道","pejvo","1","5","23","6","0.261","23","0.43"
"violent","暴","pejvo","1","5","15","7","0.467","15","-0.432"
"aneks","并","pejvo","1","5","6","5","0.833","6","-1.442"
"lake","媚","pejvo","1","5","12","4","0.333","12","-0.692"
"rekrement","渣","pejvo","1","5","12","9","0.75","12","-0.817"
"ciklon","旋","pejvo","1","5","11","6","0.545","11","-0.855"
"deprim","沮丧","pejvo","1","5","16","6","0.375","16","-0.304"
"mitr","冠","pejvo","1","5","9","4","0.444","9","-1.025"
"kerat","角","piv","2","5","7","5","0.714","7","-1.306"
"framason","共济会","pejvo","1","5","21","8","0.381","21","0.194"
"dehisk","裂","pejvo","1","5","12","6","0.5","12","-0.742"
"c^arlatan","骗","pejvo","1","5","12","8","0.667","12","-0.792"
"nominal","名","pejvo","1","5","6","7","1.167","6","-1.542"
"uzur","高利","pejvo","1","5","17","4","0.235","17","-0.162"
"lir","琴","pejvo","1","5","12","3","0.25","12","-0.667"
"agav","龙舌兰","pejvo","1","5","16","4","0.25","16","-0.267"
"kil","龙骨","pejvo","1","5","15","3","0.2","15","-0.352"
"sket","滑","piv","2","5","12","4","0.333","12","-0.692"
"harp","琴","pejvo","1","5","12","4","0.333","12","-0.692"
